Time(longsecs),Time(UTC),Temperature(&deg;C),Sensor SOH Voltage 1(V),Sensor SOH Voltage 2(V),Sensor SOH Voltage 3(V),
1507325117,2017-10-06 21:25:17.584,2.2930756E1,-1.169384E0,-1.1671247E0,-1.1713333E0,
1507325177,2017-10-06 21:26:17.584,2.3003326E1,-1.1680241E0,-1.1647034E0,-1.1734228E0,
1507325237,2017-10-06 21:27:17.584,2.2764587E1,-1.164464E0,-1.1609535E0,-1.1726112E0,
1507325297,2017-10-06 21:28:17.584,2.3129547E1,-1.1818914E0,-1.1776361E0,-1.1858768E0,
1507325357,2017-10-06 21:29:17.584,2.288974E1,-1.1746349E0,-1.1712408E0,-1.1803389E0,
1507325417,2017-10-06 21:30:17.584,2.288974E1,-1.1694508E0,-1.1605864E0,-1.1735582E0,
1507325477,2017-10-06 21:31:17.584,2.2832947E1,-1.1758137E0,-1.1810713E0,-1.1887636E0,
1507325537,2017-10-06 21:32:17.584,2.2898163E1,-1.1718645E0,-1.1697807E0,-1.1857538E0,
1507325597,2017-10-06 21:33:17.584,2.3032776E1,-1.1679754E0,-1.1647863E0,-1.1713305E0,
1507325657,2017-10-06 21:34:17.584,2.2939178E1,-1.1678429E0,-1.1674166E0,-1.172473E0,
1507325717,2017-10-06 21:35:17.584,2.2824524E1,-1.1654282E0,-1.1631508E0,-1.1737795E0,
1507325777,2017-10-06 21:36:17.584,2.2810852E1,-1.1608181E0,-1.1561432E0,-1.1675463E0,
1507325837,2017-10-06 21:37:17.584,2.3130585E1,-1.168479E0,-1.1641388E0,-1.1735582E0,
1507325897,2017-10-06 21:38:17.584,2.3103241E1,-1.1584187E0,-1.1583652E0,-1.166954E0,
1507325957,2017-10-06 21:39:17.584,2.3110626E1,-1.1712484E0,-1.1660109E0,-1.1743917E0,
1507326017,2017-10-06 21:40:17.584,2.3120087E1,-1.1663141E0,-1.1615658E0,-1.1742659E0,
1507326077,2017-10-06 21:41:17.584,2.3049622E1,-1.1687441E0,-1.1639633E0,-1.1740179E0,
1507326137,2017-10-06 21:42:17.584,2.310852E1,-1.1728725E0,-1.1788778E0,-1.1843472E0,
1507326197,2017-10-06 21:43:17.584,2.3094849E1,-1.1790991E0,-1.177701E0,-1.1863861E0,
1507326257,2017-10-06 21:44:17.584,2.3130585E1,-1.1663456E0,-1.164216E0,-1.1694803E0,
1507326317,2017-10-06 21:45:17.584,2.30654E1,-1.1797037E0,-1.1759443E0,-1.1848478E0,
1507326377,2017-10-06 21:46:17.584,2.295285E1,-1.1786976E0,-1.1794481E0,-1.1850538E0,
1507326437,2017-10-06 21:47:17.584,2.2848724E1,-1.1649904E0,-1.1614695E0,-1.171421E0,
1507326497,2017-10-06 21:48:17.615,2.297705E1,-1.1789856E0,-1.1728582E0,-1.181983E0,
1507326557,2017-10-06 21:49:17.584,2.3081177E1,-1.1578302E0,-1.1543121E0,-1.1618176E0,
1507326617,2017-10-06 21:50:17.584,2.3127441E1,-1.1752634E0,-1.1719332E0,-1.1812859E0,
1507326677,2017-10-06 21:51:17.584,2.286557E1,-1.1760912E0,-1.1744308E0,-1.182682E0,
1507326737,2017-10-06 21:52:17.584,2.3004395E1,-1.1684103E0,-1.1658258E0,-1.1717014E0,
1507326797,2017-10-06 21:53:17.584,2.3024384E1,-1.171771E0,-1.1718979E0,-1.1792955E0,
1507326857,2017-10-06 21:54:17.586,2.2953918E1,-1.1816549E0,-1.1804886E0,-1.1866837E0,
1507326917,2017-10-06 21:55:17.586,2.3299927E1,-1.1688433E0,-1.1682558E0,-1.1719255E0,
1507326977,2017-10-06 21:56:17.585,2.316214E1,-1.1755524E0,-1.1714821E0,-1.17834E0,
1507327037,2017-10-06 21:57:17.584,2.3091675E1,-1.1597309E0,-1.1610231E0,-1.1637812E0,
1507327097,2017-10-06 21:58:17.584,2.3036987E1,-1.173665E0,-1.172245E0,-1.1828957E0,
1507327157,2017-10-06 21:59:17.584,2.3232635E1,-1.170207E0,-1.163867E0,-1.173953E0,
1507327217,2017-10-06 22:00:17.584,2.3295715E1,-1.1624298E0,-1.1597319E0,-1.171215E0,
1507327277,2017-10-06 22:01:17.584,2.3272583E1,-1.1638031E0,-1.16045E0,-1.1639099E0,
1507327337,2017-10-06 22:02:17.585,2.3081177E1,-1.177763E0,-1.1783981E0,-1.193573E0,
1507327397,2017-10-06 22:03:17.584,2.3311493E1,-1.1751785E0,-1.1691227E0,-1.1773319E0,
1507327457,2017-10-06 22:04:17.611,2.2986511E1,-1.1845732E0,-1.1781044E0,-1.1891661E0,
1507327517,2017-10-06 22:05:17.584,2.3196869E1,-1.1778755E0,-1.1707468E0,-1.1788206E0,
1507327577,2017-10-06 22:06:17.584,2.316214E1,-1.1748867E0,-1.1742258E0,-1.1814871E0,
1507327637,2017-10-06 22:07:17.584,2.3241028E1,-1.1715536E0,-1.1692257E0,-1.1756897E0,
1507327697,2017-10-06 22:08:17.584,2.30065E1,-1.1758595E0,-1.171586E0,-1.1823511E0,
1507327757,2017-10-06 22:09:17.584,2.3080109E1,-1.1661596E0,-1.1639099E0,-1.1691914E0,
1507327817,2017-10-06 22:10:17.584,2.3090637E1,-1.1843052E0,-1.1781216E0,-1.1841488E0,
1507327877,2017-10-06 22:11:17.584,2.2975983E1,-1.1679344E0,-1.1637707E0,-1.1699114E0,
1507327937,2017-10-06 22:12:17.584,2.3166351E1,-1.1719656E0,-1.1673374E0,-1.1798906E0,
1507327997,2017-10-06 22:13:17.584,2.3102203E1,-1.1791639E0,-1.1751728E0,-1.1824064E0,
1507328057,2017-10-06 22:14:17.584,2.2930756E1,-1.1666412E0,-1.1652279E0,-1.1708574E0,
1507328117,2017-10-06 22:15:17.584,2.2844513E1,-1.171257E0,-1.1678429E0,-1.1778402E0,
1507328177,2017-10-06 22:16:17.584,2.2868713E1,-1.171691E0,-1.1637974E0,-1.1740284E0,
1507328237,2017-10-06 22:17:17.584,2.291394E1,-1.1756439E0,-1.1742764E0,-1.1783085E0,
1507328297,2017-10-06 22:18:17.584,2.3018066E1,-1.1623039E0,-1.1585875E0,-1.1683168E0,
1507328357,2017-10-06 22:19:17.584,2.2901306E1,-1.1615381E0,-1.1597443E0,-1.1671524E0,
1507328417,2017-10-06 22:20:17.584,2.2818237E1,-1.1699352E0,-1.1613264E0,-1.1695576E0,
1507328477,2017-10-06 22:21:17.584,2.2855042E1,-1.176899E0,-1.1711378E0,-1.1837912E0,
1507328537,2017-10-06 22:22:17.584,2.2959167E1,-1.184165E0,-1.1814976E0,-1.1913605E0,
1507328597,2017-10-06 22:23:17.584,2.2957062E1,-1.1624632E0,-1.1588297E0,-1.1695662E0,
1507328657,2017-10-06 22:24:17.584,2.2827698E1,-1.1770687E0,-1.172761E0,-1.1800699E0,
1507328717,2017-10-06 22:25:17.584,2.2981262E1,-1.1782122E0,-1.1744156E0,-1.1818199E0,
1507328777,2017-10-06 22:26:17.584,2.276355E1,-1.170167E0,-1.1615257E0,-1.1730013E0,
1507328837,2017-10-06 22:27:17.584,2.2901306E1,-1.1741762E0,-1.1666107E0,-1.1816673E0,
1507328897,2017-10-06 22:28:17.584,2.2775116E1,-1.1729279E0,-1.1687021E0,-1.1767206E0,
1507328957,2017-10-06 22:29:17.584,2.313797E1,-1.1727228E0,-1.1664982E0,-1.1777592E0,
1507329017,2017-10-06 22:30:17.584,2.297705E1,-1.164114E0,-1.159195E0,-1.1653185E0,
1507329077,2017-10-06 22:31:17.584,2.286557E1,-1.1595659E0,-1.155488E0,-1.168416E0,
1507329137,2017-10-06 22:32:17.584,2.2864502E1,-1.1579103E0,-1.158906E0,-1.1628075E0,
1507329197,2017-10-06 22:33:17.584,2.2847687E1,-1.1643095E0,-1.1651192E0,-1.1762428E0,
1507329257,2017-10-06 22:34:17.585,2.2898163E1,-1.1693258E0,-1.1667767E0,-1.1747351E0,
1507329317,2017-10-06 22:35:17.586,2.2845581E1,-1.1686544E0,-1.1626959E0,-1.17659E0,
1507329377,2017-10-06 22:36:17.586,2.3120087E1,-1.1597242E0,-1.1604786E0,-1.1643391E0,
1507329437,2017-10-06 22:37:17.584,2.3038055E1,-1.1672487E0,-1.1611586E0,-1.1741629E0,
1507329497,2017-10-06 22:38:17.584,2.2722504E1,-1.1701775E0,-1.1630936E0,-1.1721048E0,
1507329557,2017-10-06 22:39:17.584,2.3190552E1,-1.1562643E0,-1.1553288E0,-1.1613264E0,
1507329617,2017-10-06 22:40:17.584,2.3023315E1,-1.1688614E0,-1.1645689E0,-1.1722746E0,
